"activity" "subject" "feature" "mean"
"LAYING" 1 "fBodyAcc-mean()-X" -0.9391
"LAYING" 1 "fBodyAcc-mean()-Y" -0.8671
"LAYING" 1 "fBodyAcc-mean()-Z" -0.8827
"LAYING" 1 "fBodyAcc-std()-X" -0.9244
"LAYING" 1 "fBodyAcc-std()-Y" -0.8336
"LAYING" 1 "fBodyAcc-std()-Z" -0.8129
"LAYING" 1 "fBodyAccJerk-mean()-X" -0.9571
"LAYING" 1 "fBodyAccJerk-mean()-Y" -0.9225
"LAYING" 1 "fBodyAccJerk-mean()-Z" -0.9481
"LAYING" 1 "fBodyAccJerk-std()-X" -0.9642
"LAYING" 1 "fBodyAccJerk-std()-Y" -0.9322
"LAYING" 1 "fBodyAccJerk-std()-Z" -0.9606
"LAYING" 1 "fBodyAccMag-mean()" -0.8618
"LAYING" 1 "fBodyAccMag-std()" -0.7983
"LAYING" 1 "fBodyBodyAccJerkMag-mean()" -0.9333
"LAYING" 1 "fBodyBodyAccJerkMag-std()" -0.9218
"LAYING" 1 "fBodyBodyGyroJerkMag-mean()" -0.9424
"LAYING" 1 "fBodyBodyGyroJerkMag-std()" -0.9327
"LAYING" 1 "fBodyBodyGyroMag-mean()" -0.8622
"LAYING" 1 "fBodyBodyGyroMag-std()" -0.8243
"LAYING" 1 "fBodyGyro-mean()-X" -0.8502
"LAYING" 1 "fBodyGyro-mean()-Y" -0.9522
"LAYING" 1 "fBodyGyro-mean()-Z" -0.9093
"LAYING" 1 "fBodyGyro-std()-X" -0.8823
"LAYING" 1 "fBodyGyro-std()-Y" -0.9512
"LAYING" 1 "fBodyGyro-std()-Z" -0.9166
"LAYING" 1 "tBodyAcc-mean()-X" 0.2216
"LAYING" 1 "tBodyAcc-mean()-Y" -0.0405
"LAYING" 1 "tBodyAcc-mean()-Z" -0.1132
"LAYING" 1 "tBodyAcc-std()-X" -0.9281
"LAYING" 1 "tBodyAcc-std()-Y" -0.8368
"LAYING" 1 "tBodyAcc-std()-Z" -0.8261
"LAYING" 1 "tBodyAccJerk-mean()-X" 0.0811
"LAYING" 1 "tBodyAccJerk-mean()-Y" 0.0038
"LAYING" 1 "tBodyAccJerk-mean()-Z" 0.0108
"LAYING" 1 "tBodyAccJerk-std()-X" -0.9585
"LAYING" 1 "tBodyAccJerk-std()-Y" -0.9241
"LAYING" 1 "tBodyAccJerk-std()-Z" -0.9549
"LAYING" 1 "tBodyAccJerkMag-mean()" -0.9544
"LAYING" 1 "tBodyAccJerkMag-std()" -0.9282
"LAYING" 1 "tBodyAccMag-mean()" -0.8419
"LAYING" 1 "tBodyAccMag-std()" -0.7951
"LAYING" 1 "tBodyGyro-mean()-X" -0.0166
"LAYING" 1 "tBodyGyro-mean()-Y" -0.0645
"LAYING" 1 "tBodyGyro-mean()-Z" 0.1487
"LAYING" 1 "tBodyGyro-std()-X" -0.8735
"LAYING" 1 "tBodyGyro-std()-Y" -0.9511
"LAYING" 1 "tBodyGyro-std()-Z" -0.9083
"LAYING" 1 "tBodyGyroJerk-mean()-X" -0.1073
"LAYING" 1 "tBodyGyroJerk-mean()-Y" -0.0415
"LAYING" 1 "tBodyGyroJerk-mean()-Z" -0.0741
"LAYING" 1 "tBodyGyroJerk-std()-X" -0.9186
"LAYING" 1 "tBodyGyroJerk-std()-Y" -0.9679
"LAYING" 1 "tBodyGyroJerk-std()-Z" -0.9578
"LAYING" 1 "tBodyGyroJerkMag-mean()" -0.9635
"LAYING" 1 "tBodyGyroJerkMag-std()" -0.9358
"LAYING" 1 "tBodyGyroMag-mean()" -0.8748
"LAYING" 1 "tBodyGyroMag-std()" -0.819
"LAYING" 1 "tGravityAcc-mean()-X" -0.2489
"LAYING" 1 "tGravityAcc-mean()-Y" 0.7055
"LAYING" 1 "tGravityAcc-mean()-Z" 0.4458
"LAYING" 1 "tGravityAcc-std()-X" -0.8968
"LAYING" 1 "tGravityAcc-std()-Y" -0.9077
"LAYING" 1 "tGravityAcc-std()-Z" -0.8524
"LAYING" 1 "tGravityAccMag-mean()" -0.8419
"LAYING" 1 "tGravityAccMag-std()" -0.7951
"LAYING" 2 "fBodyAcc-mean()-X" -0.9767
"LAYING" 2 "fBodyAcc-mean()-Y" -0.9798
"LAYING" 2 "fBodyAcc-mean()-Z" -0.9844
"LAYING" 2 "fBodyAcc-std()-X" -0.9732
"LAYING" 2 "fBodyAcc-std()-Y" -0.981
"LAYING" 2 "fBodyAcc-std()-Z" -0.9848
"LAYING" 2 "fBodyAccJerk-mean()-X" -0.9858
"LAYING" 2 "fBodyAccJerk-mean()-Y" -0.9828
"LAYING" 2 "fBodyAccJerk-mean()-Z" -0.9862
"LAYING" 2 "fBodyAccJerk-std()-X" -0.9873
"LAYING" 2 "fBodyAccJerk-std()-Y" -0.985
"LAYING" 2 "fBodyAccJerk-std()-Z" -0.9893
"LAYING" 2 "fBodyAccMag-mean()" -0.9751
"LAYING" 2 "fBodyAccMag-std()" -0.9751
"LAYING" 2 "fBodyBodyAccJerkMag-mean()" -0.9854
"LAYING" 2 "fBodyBodyAccJerkMag-std()" -0.9846
"LAYING" 2 "fBodyBodyGyroJerkMag-mean()" -0.9902
"LAYING" 2 "fBodyBodyGyroJerkMag-std()" -0.9895
"LAYING" 2 "fBodyBodyGyroMag-mean()" -0.9721
"LAYING" 2 "fBodyBodyGyroMag-std()" -0.9611
"LAYING" 2 "fBodyGyro-mean()-X" -0.9864
"LAYING" 2 "fBodyGyro-mean()-Y" -0.9833
"LAYING" 2 "fBodyGyro-mean()-Z" -0.9627
"LAYING" 2 "fBodyGyro-std()-X" -0.9889
"LAYING" 2 "fBodyGyro-std()-Y" -0.9819
"LAYING" 2 "fBodyGyro-std()-Z" -0.9632
"LAYING" 2 "tBodyAcc-mean()-X" 0.2814
"LAYING" 2 "tBodyAcc-mean()-Y" -0.0182
"LAYING" 2 "tBodyAcc-mean()-Z" -0.1072
"LAYING" 2 "tBodyAcc-std()-X" -0.9741
"LAYING" 2 "tBodyAcc-std()-Y" -0.9803
